"period","zone","gender","cancer","count"
"2000-2004","S01001940","Female","Malignant Neoplasms",9
"2004-2008","S01001940","Female","Malignant Neoplasms",11
"1997-2001","S01001947","Female","Malignant Neoplasms",21
"1997-2001","S01001953","Female","Malignant Neoplasms",11
"2002-2006","S01001940","Female","Malignant Neoplasms",13
"2000-2004","S01001945","Female","Malignant Neoplasms",9
"1999-2003","S01001950","Female","Malignant Neoplasms",12
"1999-2003","S01001949","Female","Malignant Neoplasms",12
"2005-2009","S01001951","Female","Malignant Neoplasms",27
"2003-2007","S01001954","Female","Malignant Neoplasms",8
"1999-2003","S01001940","Female","Malignant Neoplasms",10
"2005-2009","S01001947","Female","Malignant Neoplasms",25
"2001-2005","S01001940","Female","Malignant Neoplasms",11
"2001-2005","S01001945","Female","Malignant Neoplasms",9
"1997-2001","S01001954","Female","Malignant Neoplasms",5
"2002-2006","S01001945","Female","Malignant Neoplasms",11
"2003-2007","S01001941","Female","Malignant Neoplasms",7
"2002-2006","S01001941","Female","Malignant Neoplasms",7
"2005-2009","S01001948","Female","Malignant Neoplasms",12
"1997-2001","S01001951","Female","Malignant Neoplasms",23
"2003-2007","S01001945","Female","Malignant Neoplasms",14
"1998-2002","S01001941","Female","Malignant Neoplasms",9
"2003-2007","S01001952","Female","Malignant Neoplasms",10
"2003-2007","S01001950","Female","Malignant Neoplasms",11
"1997-2001","S01001941","Female","Malignant Neoplasms",13
"1999-2003","S01001951","Female","Malignant Neoplasms",22
"2005-2009","S01001953","Female","Malignant Neoplasms",11
"2004-2008","S01001954","Female","Malignant Neoplasms",7
"2000-2004","S01001941","Female","Malignant Neoplasms",9
"2004-2008","S01001941","Female","Malignant Neoplasms",5
"2001-2005","S01001941","Female","Malignant Neoplasms",7
"2001-2005","S01001949","Female","Malignant Neoplasms",12
"1999-2003","S01001941","Female","Malignant Neoplasms",9
"2004-2008","S01001945","Female","Malignant Neoplasms",13
"2000-2004","S01001953","Female","Malignant Neoplasms",9
"2005-2009","S01001941","Female","Malignant Neoplasms",8
"2004-2008","S01001953","Female","Malignant Neoplasms",10
"2001-2005","S01001950","Female","Malignant Neoplasms",7
"2001-2005","S01001947","Female","Malignant Neoplasms",23
"2005-2009","S01001945","Female","Malignant Neoplasms",16
"2002-2006","S01001953","Female","Malignant Neoplasms",9
"1999-2003","S01001946","Female","Malignant Neoplasms",5
"2000-2004","S01001942","Female","Malignant Neoplasms",7
"1997-2001","S01001942","Female","Malignant Neoplasms",6
"2000-2004","S01001948","Female","Malignant Neoplasms",4
"2002-2006","S01001952","Female","Malignant Neoplasms",8
"2005-2009","S01001942","Female","Malignant Neoplasms",15
"1997-2001","S01001948","Female","Malignant Neoplasms",5
"2001-2005","S01001953","Female","Malignant Neoplasms",8
"2004-2008","S01001942","Female","Malignant Neoplasms",14
"2002-2006","S01001946","Female","Malignant Neoplasms",9
"2002-2006","S01001950","Female","Malignant Neoplasms",6
"2000-2004","S01001950","Female","Malignant Neoplasms",8
"1997-2001","S01001946","Female","Malignant Neoplasms",5
"2003-2007","S01001942","Female","Malignant Neoplasms",15
"1998-2002","S01001942","Female","Malignant Neoplasms",4
"2001-2005","S01001952","Female","Malignant Neoplasms",7
"1997-2001","S01001950","Female","Malignant Neoplasms",14
"1999-2003","S01001942","Female","Malignant Neoplasms",6
"1998-2002","S01001952","Female","Malignant Neoplasms",11
"2005-2009","S01001946","Female","Malignant Neoplasms",8
"2005-2009","S01001954","Female","Malignant Neoplasms",5
"1998-2002","S01001953","Female","Malignant Neoplasms",11
"2002-2006","S01001942","Female","Malignant Neoplasms",12
"2005-2009","S01001950","Female","Malignant Neoplasms",10
"2000-2004","S01001952","Female","Malignant Neoplasms",10
"2001-2005","S01001942","Female","Malignant Neoplasms",10
"1999-2003","S01001953","Female","Malignant Neoplasms",10
"2003-2007","S01001943","Female","Malignant Neoplasms",18
"2000-2004","S01001946","Female","Malignant Neoplasms",5
"2001-2005","S01001948","Female","Malignant Neoplasms",9
"2002-2006","S01001948","Female","Malignant Neoplasms",7
"2002-2006","S01001951","Female","Malignant Neoplasms",27
"2004-2008","S01001946","Female","Malignant Neoplasms",7
"2002-2006","S01001943","Female","Malignant Neoplasms",18
"1997-2001","S01001943","Female","Malignant Neoplasms",8
"1999-2003","S01001943","Female","Malignant Neoplasms",12
"1998-2002","S01001949","Female","Malignant Neoplasms",14
"2000-2004","S01001954","Female","Malignant Neoplasms",7
"1997-2001","S01001952","Female","Malignant Neoplasms",13
"2000-2004","S01001949","Female","Malignant Neoplasms",11
"2004-2008","S01001943","Female","Malignant Neoplasms",15
"1998-2002","S01001951","Female","Malignant Neoplasms",25
"2003-2007","S01001946","Female","Malignant Neoplasms",6
"2005-2009","S01001943","Female","Malignant Neoplasms",13
"2000-2004","S01001943","Female","Malignant Neoplasms",15
"1998-2002","S01001946","Female","Malignant Neoplasms",5
"2001-2005","S01001951","Female","Malignant Neoplasms",26
"2003-2007","S01001949","Female","Malignant Neoplasms",13
"2001-2005","S01001943","Female","Malignant Neoplasms",17
"2004-2008","S01001952","Female","Malignant Neoplasms",10
"1999-2003","S01001952","Female","Malignant Neoplasms",10
"2003-2007","S01001953","Female","Malignant Neoplasms",10
"1998-2002","S01001943","Female","Malignant Neoplasms",9
"1999-2003","S01001948","Female","Malignant Neoplasms",5
"2003-2007","S01001951","Female","Malignant Neoplasms",28
"2001-2005","S01001946","Female","Malignant Neoplasms",7
"2003-2007","S01001944","Female","Malignant Neoplasms",21
"1998-2002","S01001947","Female","Malignant Neoplasms",19
"1999-2003","S01001947","Female","Malignant Neoplasms",20
"2002-2006","S01001944","Female","Malignant Neoplasms",20
"1998-2002","S01001944","Female","Malignant Neoplasms",16
"1998-2002","S01001954","Female","Malignant Neoplasms",4
"2002-2006","S01001954","Female","Malignant Neoplasms",8
"2004-2008","S01001947","Female","Malignant Neoplasms",22
"1997-2001","S01001949","Female","Malignant Neoplasms",13
"1998-2002","S01001948","Female","Malignant Neoplasms",4
"2005-2009","S01001944","Female","Malignant Neoplasms",19
"2000-2004","S01001951","Female","Malignant Neoplasms",24
"2002-2006","S01001947","Female","Malignant Neoplasms",19
"2003-2007","S01001948","Female","Malignant Neoplasms",6
"1999-2003","S01001944","Female","Malignant Neoplasms",13
"2002-2006","S01001949","Female","Malignant Neoplasms",13
"1999-2003","S01001954","Female","Malignant Neoplasms",5
"2005-2009","S01001952","Female","Malignant Neoplasms",9
"2004-2008","S01001944","Female","Malignant Neoplasms",23
"2005-2009","S01001949","Female","Malignant Neoplasms",14
"1997-2001","S01001944","Female","Malignant Neoplasms",18
"2001-2005","S01001944","Female","Malignant Neoplasms",20
"2004-2008","S01001951","Female","Malignant Neoplasms",28
"2000-2004","S01001944","Female","Malignant Neoplasms",19
"1997-2001","S01001945","Female","Malignant Neoplasms",11
"2003-2007","S01001963","All","Colorectal Cancer",1
"2005-2009","S01001967","All","Colorectal Cancer",0
"2001-2005","S01001967","All","Colorectal Cancer",2
"2001-2005","S01001968","All","Colorectal Cancer",4
"2005-2009","S01001957","All","Colorectal Cancer",2
"2004-2008","S01001957","All","Colorectal Cancer",2
"1998-2002","S01001963","All","Colorectal Cancer",4
"2002-2006","S01001963","All","Colorectal Cancer",2
"2001-2005","S01001963","All","Colorectal Cancer",2
"1999-2003","S01001968","All","Colorectal Cancer",6
"2001-2005","S01001955","All","Colorectal Cancer",1
"2005-2009","S01001955","All","Colorectal Cancer",5
"1997-2001","S01001957","All","Colorectal Cancer",2
"1999-2003","S01001963","All","Colorectal Cancer",5
"2000-2004","S01001963","All","Colorectal Cancer",4
"1997-2001","S01001962","All","Colorectal Cancer",1
"2005-2009","S01001956","All","Colorectal Cancer",3
"2002-2006","S01001956","All","Colorectal Cancer",3
"1999-2003","S01001966","All","Colorectal Cancer",5
"1998-2002","S01001962","All","Colorectal Cancer",1
"2003-2007","S01001957","All","Colorectal Cancer",2
"1998-2002","S01001957","All","Colorectal Cancer",2
"2000-2004","S01001966","All","Colorectal Cancer",4
"2005-2009","S01001966","All","Colorectal Cancer",1
"2004-2008","S01001966","All","Colorectal Cancer",1
"2003-2007","S01001962","All","Colorectal Cancer",3
"1999-2003","S01001962","All","Colorectal Cancer",2
"2004-2008","S01001962","All","Colorectal Cancer",4
"2002-2006","S01001962","All","Colorectal Cancer",2
"2002-2006","S01001957","All","Colorectal Cancer",2
"2005-2009","S01001962","All","Colorectal Cancer",4
"2000-2004","S01001962","All","Colorectal Cancer",2
"2001-2005","S01001962","All","Colorectal Cancer",1
"2005-2009","S01001968","All","Colorectal Cancer",6
"1997-2001","S01001966","All","Colorectal Cancer",4
"2001-2005","S01001966","All","Colorectal Cancer",4
"2004-2008","S01001956","All","Colorectal Cancer",4
"1998-2002","S01001966","All","Colorectal Cancer",4
"2003-2007","S01001966","All","Colorectal Cancer",2
"2002-2006","S01001961","All","Colorectal Cancer",1
"1998-2002","S01001961","All","Colorectal Cancer",2
"2003-2007","S01001961","All","Colorectal Cancer",1
"2001-2005","S01001957","All","Colorectal Cancer",2
"2001-2005","S01001961","All","Colorectal Cancer",1
"1997-2001","S01001961","All","Colorectal Cancer",3
"2004-2008","S01001961","All","Colorectal Cancer",1
"1999-2003","S01001961","All","Colorectal Cancer",1
"2000-2004","S01001968","All","Colorectal Cancer",4
"2003-2007","S01001956","All","Colorectal Cancer",3
"2002-2006","S01001966","All","Colorectal Cancer",2
"1999-2003","S01001957","All","Colorectal Cancer",3
"2000-2004","S01001957","All","Colorectal Cancer",2
"2005-2009","S01001961","All","Colorectal Cancer",1
"2000-2004","S01001961","All","Colorectal Cancer",0
"2005-2009","S01001960","All","Colorectal Cancer",2
"2004-2008","S01001955","All","Colorectal Cancer",1
"2002-2006","S01001965","All","Colorectal Cancer",7
"2005-2009","S01001965","All","Colorectal Cancer",10
"2004-2008","S01001960","All","Colorectal Cancer",3
"2002-2006","S01001968","All","Colorectal Cancer",2
"1998-2002","S01001956","All","Colorectal Cancer",2
"1997-2001","S01001965","All","Colorectal Cancer",5
"2000-2004","S01001965","All","Colorectal Cancer",7
"2000-2004","S01001956","All","Colorectal Cancer",3
"2003-2007","S01001960","All","Colorectal Cancer",4
"2002-2006","S01001960","All","Colorectal Cancer",4
"2005-2009","S01001969","All","Colorectal Cancer",2
"2001-2005","S01001960","All","Colorectal Cancer",4
"1997-2001","S01001958","All","Colorectal Cancer",5
"2000-2004","S01001960","All","Colorectal Cancer",3
"2000-2004","S01001958","All","Colorectal Cancer",1
"2004-2008","S01001968","All","Colorectal Cancer",5
"1997-2001","S01001968","All","Colorectal Cancer",6
"2004-2008","S01001969","All","Colorectal Cancer",4
"1999-2003","S01001965","All","Colorectal Cancer",6
"1998-2002","S01001965","All","Colorectal Cancer",4
"2003-2007","S01001968","All","Colorectal Cancer",5
"1999-2003","S01001960","All","Colorectal Cancer",2
"1998-2002","S01001960","All","Colorectal Cancer",2
"1997-2001","S01001960","All","Colorectal Cancer",1
"2004-2008","S01001959","All","Colorectal Cancer",3
"2003-2007","S01001959","All","Colorectal Cancer",5
"1999-2003","S01001959","All","Colorectal Cancer",3
"1997-2001","S01001959","All","Colorectal Cancer",1
"2004-2008","S01001958","All","Colorectal Cancer",5
"2000-2004","S01001959","All","Colorectal Cancer",5
"2005-2009","S01001958","All","Colorectal Cancer",5
"2001-2005","S01001959","All","Colorectal Cancer",5
"1998-2002","S01001959","All","Colorectal Cancer",1
"2005-2009","S01001959","All","Colorectal Cancer",2
"2001-2005","S01001958","All","Colorectal Cancer",2
"2002-2006","S01001959","All","Colorectal Cancer",6
"2004-2008","S01001965","All","Colorectal Cancer",9
"2000-2004","S01001969","All","Colorectal Cancer",4
"1998-2002","S01001969","All","Colorectal Cancer",2
"2003-2007","S01001955","All","Colorectal Cancer",1
"2002-2006","S01001958","All","Colorectal Cancer",2
"1998-2002","S01001968","All","Colorectal Cancer",5
"1997-2001","S01001956","All","Colorectal Cancer",1
"2003-2007","S01001965","All","Colorectal Cancer",7
"2002-2006","S01001969","All","Colorectal Cancer",3
"2001-2005","S01001969","All","Colorectal Cancer",3
"2003-2007","S01001958","All","Colorectal Cancer",3
"1999-2003","S01001958","All","Colorectal Cancer",1
"2001-2005","S01001965","All","Colorectal Cancer",6
"1999-2003","S01001956","All","Colorectal Cancer",2
"1998-2002","S01001958","All","Colorectal Cancer",2
"2003-2007","S01001967","All","Colorectal Cancer",2
"1998-2002","S01001967","All","Colorectal Cancer",1
"1999-2003","S01001967","All","Colorectal Cancer",2
"2002-2006","S01001955","All","Colorectal Cancer",1
"1997-2001","S01001967","All","Colorectal Cancer",1
"2000-2004","S01001955","All","Colorectal Cancer",3
"1997-2001","S01001955","All","Colorectal Cancer",5
"2003-2007","S01001964","All","Colorectal Cancer",1
"1998-2002","S01001964","All","Colorectal Cancer",2
"1997-2001","S01001964","All","Colorectal Cancer",2
"1999-2003","S01001964","All","Colorectal Cancer",1
"2004-2008","S01001964","All","Colorectal Cancer",1
"2002-2006","S01001964","All","Colorectal Cancer",1
"2005-2009","S01001964","All","Colorectal Cancer",3
"2000-2004","S01001964","All","Colorectal Cancer",1
"2002-2006","S01001967","All","Colorectal Cancer",2
"2001-2005","S01001956","All","Colorectal Cancer",3
"1999-2003","S01001955","All","Colorectal Cancer",5
"2001-2005","S01001964","All","Colorectal Cancer",1
"1998-2002","S01001955","All","Colorectal Cancer",5
"2003-2007","S01001969","All","Colorectal Cancer",5
"1997-2001","S01001969","All","Colorectal Cancer",2
"2005-2009","S01001963","All","Colorectal Cancer",2
"2004-2008","S01001963","All","Colorectal Cancer",1
"1997-2001","S01001963","All","Colorectal Cancer",3
"2000-2004","S01001967","All","Colorectal Cancer",2
"1999-2003","S01001969","All","Colorectal Cancer",2
"2004-2008","S01001967","All","Colorectal Cancer",1
"2003-2007","S01001955","All","Malignant Neoplasms",35
"2005-2009","S01001963","All","Lung Cancer",6
"2000-2004","S01001960","All","Lung Cancer",1
"2001-2005","S01001957","All","Lung Cancer",6
"1997-2001","S01001963","All","Lung Cancer",6
"2005-2009","S01001969","All","Lung Cancer",4
"1998-2002","S01001969","All","Lung Cancer",1
"2001-2005","S01001961","All","Lung Cancer",1
"1998-2002","S01001964","All","Lung Cancer",1
"2004-2008","S01001961","All","Lung Cancer",2
"2004-2008","S01001966","All","Lung Cancer",6
"2002-2006","S01001965","All","Lung Cancer",8
"2004-2008","S01001959","All","Lung Cancer",5
"1999-2003","S01001957","All","Lung Cancer",11
"2000-2004","S01001959","All","Lung Cancer",3
"1999-2003","S01001961","All","Lung Cancer",4
"1998-2002","S01001961","All","Lung Cancer",4
"1998-2002","S01001965","All","Lung Cancer",7
"2002-2006","S01001964","All","Lung Cancer",2
"2002-2006","S01001956","All","Lung Cancer",2
"2003-2007","S01001955","All","Lung Cancer",7
"2004-2008","S01001967","All","Lung Cancer",0
"2005-2009","S01001957","All","Lung Cancer",5
"2000-2004","S01001955","All","Lung Cancer",11
"1997-2001","S01001965","All","Lung Cancer",6
"2003-2007","S01001961","All","Lung Cancer",2
"2000-2004","S01001961","All","Lung Cancer",3
"1997-2001","S01001967","All","Lung Cancer",2
"2004-2008","S01001956","All","Lung Cancer",3
"2001-2005","S01001966","All","Lung Cancer",3
"2005-2009","S01001966","All","Lung Cancer",6
"1997-2001","S01001958","All","Lung Cancer",7
"2001-2005","S01001960","All","Lung Cancer",1
"2002-2006","S01001961","All","Lung Cancer",1
"2003-2007","S01001959","All","Lung Cancer",5
"2004-2008","S01001958","All","Lung Cancer",9
"1997-2001","S01001964","All","Lung Cancer",1
"2005-2009","S01001956","All","Lung Cancer",3
"2001-2005","S01001962","All","Lung Cancer",6
"1999-2003","S01001966","All","Lung Cancer",3
"2002-2006","S01001967","All","Lung Cancer",1
"2005-2009","S01001960","All","Lung Cancer",1
"1999-2003","S01001965","All","Lung Cancer",6
"1999-2003","S01001969","All","Lung Cancer",1
"2005-2009","S01001965","All","Lung Cancer",7
"2004-2008","S01001965","All","Lung Cancer",9
"2000-2004","S01001956","All","Lung Cancer",1
"2000-2004","S01001966","All","Lung Cancer",3
"2004-2008","S01001969","All","Lung Cancer",5
"2000-2004","S01001968","All","Lung Cancer",5
"1999-2003","S01001956","All","Lung Cancer",0
"2000-2004","S01001965","All","Lung Cancer",8
"2004-2008","S01001962","All","Lung Cancer",9
"1998-2002","S01001955","All","Lung Cancer",11
"2001-2005","S01001969","All","Lung Cancer",4
"1997-2001","S01001959","All","Lung Cancer",7
"2001-2005","S01001967","All","Lung Cancer",2
"1998-2002","S01001956","All","Lung Cancer",1
"1997-2001","S01001956","All","Lung Cancer",3
"2000-2004","S01001964","All","Lung Cancer",1
"1999-2003","S01001967","All","Lung Cancer",2
"2003-2007","S01001956","All","Lung Cancer",3
"2004-2008","S01001964","All","Lung Cancer",3
"2003-2007","S01001966","All","Lung Cancer",7
"2005-2009","S01001958","All","Lung Cancer",7
"2000-2004","S01001967","All","Lung Cancer",2
"1997-2001","S01001957","All","Lung Cancer",9
"1998-2002","S01001963","All","Lung Cancer",3
"2000-2004","S01001962","All","Lung Cancer",4
"1998-2002","S01001966","All","Lung Cancer",3
"2003-2007","S01001962","All","Lung Cancer",9
"2005-2009","S01001964","All","Lung Cancer",2
"1997-2001","S01001962","All","Lung Cancer",5
"1999-2003","S01001964","All","Lung Cancer",1
"1999-2003","S01001955","All","Lung Cancer",10
"2002-2006","S01001968","All","Lung Cancer",3
"2002-2006","S01001957","All","Lung Cancer",7
"1999-2003","S01001962","All","Lung Cancer",6
"2003-2007","S01001957","All","Lung Cancer",6
"2003-2007","S01001958","All","Lung Cancer",6
"1998-2002","S01001962","All","Lung Cancer",6
"2000-2004","S01001958","All","Lung Cancer",11
"1998-2002","S01001958","All","Lung Cancer",8
"2002-2006","S01001960","All","Lung Cancer",1
"2005-2009","S01001962","All","Lung Cancer",10
"2000-2004","S01001957","All","Lung Cancer",10
"2002-2006","S01001962","All","Lung Cancer",8
"2003-2007","S01001960","All","Lung Cancer",1
"1998-2002","S01001959","All","Lung Cancer",5
"1998-2002","S01001957","All","Lung Cancer",9
"2005-2009","S01001968","All","Lung Cancer",4
"1997-2001","S01001955","All","Lung Cancer",11
"2001-2005","S01001958","All","Lung Cancer",11
"1997-2001","S01001961","All","Lung Cancer",4
"2001-2005","S01001964","All","Lung Cancer",1
"2005-2009","S01001959","All","Lung Cancer",7
"1997-2001","S01001966","All","Lung Cancer",3
"2001-2005","S01001956","All","Lung Cancer",2
"2003-2007","S01001967","All","Lung Cancer",1
"2001-2005","S01001968","All","Lung Cancer",5
"2002-2006","S01001955","All","Lung Cancer",9
"1997-2001","S01001960","All","Lung Cancer",1
"2003-2007","S01001969","All","Lung Cancer",5
"1999-2003","S01001968","All","Lung Cancer",4
"1998-2002","S01001968","All","Lung Cancer",4
"2002-2006","S01001969","All","Lung Cancer",5
"2004-2008","S01001963","All","Lung Cancer",6
"2004-2008","S01001957","All","Lung Cancer",6
"2003-2007","S01001968","All","Lung Cancer",6
"1999-2003","S01001963","All","Lung Cancer",2
"2001-2005","S01001963","All","Lung Cancer",4
"2004-2008","S01001960","All","Lung Cancer",2
"1999-2003","S01001958","All","Lung Cancer",9
"2005-2009","S01001967","All","Lung Cancer",0
"1997-2001","S01001968","All","Lung Cancer",4
"2002-2006","S01001966","All","Lung Cancer",4
"1998-2002","S01001960","All","Lung Cancer",0
"2001-2005","S01001955","All","Lung Cancer",12
"2003-2007","S01001965","All","Lung Cancer",8
"2000-2004","S01001969","All","Lung Cancer",3
"2001-2005","S01001965","All","Lung Cancer",8
"2000-2004","S01001963","All","Lung Cancer",4
"1999-2003","S01001959","All","Lung Cancer",5
"1998-2002","S01001967","All","Lung Cancer",1
"2002-2006","S01001959","All","Lung Cancer",2
"2004-2008","S01001968","All","Lung Cancer",5
"1997-2001","S01001969","All","Lung Cancer",0
"2002-2006","S01001963","All","Lung Cancer",5
"2004-2008","S01001955","All","Lung Cancer",6
"2003-2007","S01001963","All","Lung Cancer",4
"2005-2009","S01001955","All","Lung Cancer",5
"2003-2007","S01001964","All","Lung Cancer",3
"1999-2003","S01001960","All","Lung Cancer",0
"2005-2009","S01001961","All","Lung Cancer",2
"2002-2006","S01001958","All","Lung Cancer",10
"2001-2005","S01001959","All","Lung Cancer",3
"1998-2002","S01001967","All","Prostate Cancer",1
"1997-2001","S01001963","All","Prostate Cancer",1
"2004-2008","S01001963","All","Prostate Cancer",0
"2000-2004","S01001957","All","Prostate Cancer",1
"1998-2002","S01001955","All","Prostate Cancer",0
"2002-2006","S01001967","All","Prostate Cancer",0
"2000-2004","S01001963","All","Prostate Cancer",1
"2001-2005","S01001969","All","Prostate Cancer",0
"1999-2003","S01001964","All","Prostate Cancer",1
"2005-2009","S01001964","All","Prostate Cancer",0
"2001-2005","S01001964","All","Prostate Cancer",1
"2002-2006","S01001964","All","Prostate Cancer",1
"1999-2003","S01001955","All","Prostate Cancer",1
"1997-2001","S01001955","All","Prostate Cancer",2
"1997-2001","S01001956","All","Prostate Cancer",5
"2004-2008","S01001964","All","Prostate Cancer",0
"2003-2007","S01001964","All","Prostate Cancer",1
"1998-2002","S01001964","All","Prostate Cancer",0
"1999-2003","S01001967","All","Prostate Cancer",1
"1997-2001","S01001964","All","Prostate Cancer",0
"2003-2007","S01001967","All","Prostate Cancer",0
"2000-2004","S01001964","All","Prostate Cancer",1
"1999-2003","S01001956","All","Prostate Cancer",2
"2001-2005","S01001967","All","Prostate Cancer",1
"1998-2002","S01001956","All","Prostate Cancer",4
"1997-2001","S01001967","All","Prostate Cancer",1
"2000-2004","S01001955","All","Prostate Cancer",2
"1997-2001","S01001969","All","Prostate Cancer",1
"2004-2008","S01001969","All","Prostate Cancer",0
"2000-2004","S01001969","All","Prostate Cancer",1
"2003-2007","S01001969","All","Prostate Cancer",0
"2000-2004","S01001967","All","Prostate Cancer",1
"2005-2009","S01001956","All","Prostate Cancer",4
"2003-2007","S01001958","All","Prostate Cancer",4
"2005-2009","S01001958","All","Prostate Cancer",3
"2002-2006","S01001955","All","Prostate Cancer",3
"1999-2003","S01001959","All","Prostate Cancer",1
"1999-2003","S01001958","All","Prostate Cancer",4
"1998-2002","S01001959","All","Prostate Cancer",1
"2001-2005","S01001965","All","Prostate Cancer",4
"1999-2003","S01001965","All","Prostate Cancer",2
"2000-2004","S01001965","All","Prostate Cancer",3
"2001-2005","S01001958","All","Prostate Cancer",5
"2004-2008","S01001965","All","Prostate Cancer",3
"2002-2006","S01001956","All","Prostate Cancer",3
"2004-2008","S01001958","All","Prostate Cancer",4
"2005-2009","S01001959","All","Prostate Cancer",4
"2000-2004","S01001959","All","Prostate Cancer",1
"2005-2009","S01001965","All","Prostate Cancer",2
"1997-2001","S01001959","All","Prostate Cancer",1
"2002-2006","S01001959","All","Prostate Cancer",3
"2002-2006","S01001965","All","Prostate Cancer",3
"2003-2007","S01001959","All","Prostate Cancer",3
"2004-2008","S01001959","All","Prostate Cancer",4
"2001-2005","S01001959","All","Prostate Cancer",2
"2003-2007","S01001955","All","Prostate Cancer",4
"1997-2001","S01001960","All","Prostate Cancer",1
"2000-2004","S01001958","All","Prostate Cancer",4
"2002-2006","S01001958","All","Prostate Cancer",4
"2003-2007","S01001965","All","Prostate Cancer",3
"1998-2002","S01001960","All","Prostate Cancer",1
"1998-2002","S01001965","All","Prostate Cancer",2
"2004-2008","S01001956","All","Prostate Cancer",4
"1997-2001","S01001958","All","Prostate Cancer",5
"1999-2003","S01001960","All","Prostate Cancer",1
"2000-2004","S01001960","All","Prostate Cancer",1
"1997-2001","S01001965","All","Prostate Cancer",2
"2003-2007","S01001956","All","Prostate Cancer",3
"2001-2005","S01001960","All","Prostate Cancer",1
"2003-2007","S01001968","All","Prostate Cancer",3
"1997-2001","S01001968","All","Prostate Cancer",1
"2002-2006","S01001960","All","Prostate Cancer",1
"1998-2002","S01001958","All","Prostate Cancer",4
"2003-2007","S01001960","All","Prostate Cancer",2
"1998-2002","S01001966","All","Prostate Cancer",0
"2001-2005","S01001966","All","Prostate Cancer",3
"2004-2008","S01001960","All","Prostate Cancer",2
"2000-2004","S01001968","All","Prostate Cancer",3
"2004-2008","S01001968","All","Prostate Cancer",4
"2005-2009","S01001955","All","Prostate Cancer",4
"2005-2009","S01001960","All","Prostate Cancer",2
"1998-2002","S01001968","All","Prostate Cancer",4
"2002-2006","S01001961","All","Prostate Cancer",3
"2000-2004","S01001966","All","Prostate Cancer",2
"2003-2007","S01001966","All","Prostate Cancer",4
"2004-2008","S01001955","All","Prostate Cancer",3
"1999-2003","S01001961","All","Prostate Cancer",1
"2005-2009","S01001966","All","Prostate Cancer",3
"1999-2003","S01001957","All","Prostate Cancer",1
"2005-2009","S01001957","All","Prostate Cancer",0
"2004-2008","S01001961","All","Prostate Cancer",2
"1997-2001","S01001961","All","Prostate Cancer",0
"2005-2009","S01001969","All","Prostate Cancer",0
"2005-2009","S01001961","All","Prostate Cancer",1
"2002-2006","S01001968","All","Prostate Cancer",6
"2001-2005","S01001957","All","Prostate Cancer",1
"2003-2007","S01001961","All","Prostate Cancer",3
"2000-2004","S01001961","All","Prostate Cancer",2
"2005-2009","S01001968","All","Prostate Cancer",5
"2002-2006","S01001957","All","Prostate Cancer",1
"1998-2002","S01001961","All","Prostate Cancer",0
"2001-2005","S01001961","All","Prostate Cancer",3
"1997-2001","S01001966","All","Prostate Cancer",0
"2002-2006","S01001962","All","Prostate Cancer",2
"2004-2008","S01001966","All","Prostate Cancer",3
"2001-2005","S01001955","All","Prostate Cancer",3
"2001-2005","S01001956","All","Prostate Cancer",4
"1999-2003","S01001968","All","Prostate Cancer",3
"2003-2007","S01001962","All","Prostate Cancer",0
"2000-2004","S01001956","All","Prostate Cancer",3
"1999-2003","S01001962","All","Prostate Cancer",2
"1999-2003","S01001966","All","Prostate Cancer",2
"1998-2002","S01001957","All","Prostate Cancer",1
"2003-2007","S01001957","All","Prostate Cancer",0
"1998-2002","S01001962","All","Prostate Cancer",3
"2004-2008","S01001962","All","Prostate Cancer",0
"2000-2004","S01001962","All","Prostate Cancer",2
"1997-2001","S01001962","All","Prostate Cancer",1
"2002-2006","S01001966","All","Prostate Cancer",3
"2005-2009","S01001962","All","Prostate Cancer",0
"2001-2005","S01001962","All","Prostate Cancer",2
"2005-2009","S01001963","All","Prostate Cancer",1
"1999-2003","S01001963","All","Prostate Cancer",1
"1997-2001","S01001957","All","Prostate Cancer",0
"2004-2008","S01001967","All","Prostate Cancer",0
"2001-2005","S01001963","All","Prostate Cancer",1
"2001-2005","S01001968","All","Prostate Cancer",6
"2002-2006","S01001963","All","Prostate Cancer",0
"1999-2003","S01001969","All","Prostate Cancer",1
"2002-2006","S01001969","All","Prostate Cancer",0
"1998-2002","S01001963","All","Prostate Cancer",1
"2005-2009","S01001967","All","Prostate Cancer",0
"1998-2002","S01001969","All","Prostate Cancer",1
"2003-2007","S01001963","All","Prostate Cancer",0
"2004-2008","S01001957","All","Prostate Cancer",0
"1998-2002","S01001955","All","Malignant Neoplasms",34
"1997-2001","S01001955","All","Malignant Neoplasms",38
"2000-2004","S01001955","All","Malignant Neoplasms",41
"2001-2005","S01001955","All","Malignant Neoplasms",41
"2004-2008","S01001955","All","Malignant Neoplasms",31
"2002-2006","S01001955","All","Malignant Neoplasms",39
"1999-2003","S01001955","All","Malignant Neoplasms",39
"2005-2009","S01001955","All","Malignant Neoplasms",33
"2000-2004","S01001956","All","Malignant Neoplasms",15
"2003-2007","S01001956","All","Malignant Neoplasms",16
"2002-2006","S01001956","All","Malignant Neoplasms",14
"1999-2003","S01001956","All","Malignant Neoplasms",14
"1998-2002","S01001956","All","Malignant Neoplasms",16
"1997-2001","S01001956","All","Malignant Neoplasms",20
"2001-2005","S01001956","All","Malignant Neoplasms",15
